Program Link,_id,University Name,Program Title,Area of Study,Target Group,Focus,combined_text,embedding
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-computational-engineering-w6061/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w6061&hec-offset=330,6784dd9e1796e275dc3e0b46,Ruhr University Bochum,Computational Engineering,Computer Science,International and German students with first professionally qualifying degree,Unknown,Computational Engineering | Computer Science | Unknown | International and German students with first professionally qualifying degree,"[ 0.016128   -0.01404435 -0.00531399 ... -0.02838636 -0.00605476
 -0.00177415]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-computational-engineering-w6164/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w6164&hec-offset=331,6784dd9e1796e275dc3e0b47,University of Erlangen-Nuremberg,Computational Engineering,"Electrical Engineering, Mechanical Engineering, Engineering Informatics","Bachelor's degree or equivalent qualification in Computer Science, a related scientific or technical field or in Mathematics.","Computer Science, Mathematics, Mechatronics, Optics and Photonics, Information Technology, Thermal and Fluid Dynamics, Solid State Mechanics and Dynamics, Computational Materials Science, Medical Technology, Automatic Control Technology","Computational Engineering | Electrical Engineering, Mechanical Engineering, Engineering Informatics | Computer Science, Mathematics, Mechatronics, Optics and Photonics, Information Technology, Thermal and Fluid Dynamics, Solid State Mechanics and Dynamics, Computational Materials Science, Medical Technology, Automatic Control Technology | Bachelor's degree or equivalent qualification in Computer Science, a related scientific or technical field or in Mathematics.","[-0.00101193 -0.01611332 -0.0068614  ... -0.02897038 -0.00286699
 -0.00684848]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-rostock-computational-engineering-w7029/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w7029&hec-offset=332,6784dd9e1796e275dc3e0b48,University of Rostock,Computational Engineering,Computer Engineering,Unknown,"Applied Mathematics, Computational Methods, Software Concepts, Data Management, Visualisation","Computational Engineering | Computer Engineering | Applied Mathematics, Computational Methods, Software Concepts, Data Management, Visualisation | Unknown","[ 0.00236549 -0.01331216  0.00285427 ... -0.02059215 -0.01026938
  0.00228542]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computational-linguistics-w39397/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w39397&hec-offset=333,6784dd9e1796e275dc3e0b49,University of Stuttgart,Computational Linguistics,"Computer Science, Computational Linguistics","Graduates with a degree in a Bachelor's course of at least six semesters (or equivalent degree) in Mechanical Language Processing, Computer Linguistics, Computer Science or in a course with related content.","Computer Linguistics, Natural Language Processing, Natural Language Processing, Applied Linguistics, Computer Science, Programming","Computational Linguistics | Computer Science, Computational Linguistics | Computer Linguistics, Natural Language Processing, Natural Language Processing, Applied Linguistics, Computer Science, Programming | Graduates with a degree in a Bachelor's course of at least six semesters (or equivalent degree) in Mechanical Language Processing, Computer Linguistics, Computer Science or in a course with related content.","[-0.00039115  0.0040522   0.01586838 ... -0.03212955  0.00802584
 -0.01069676]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/freiberg-university-of-mining-and-technology-computational-materials-science-w60371/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w60371&hec-offset=334,6784dd9e1796e275dc3e0b4a,Freiberg University of Mining and Technology,Computational Materials Science,Mechanical Engineering,Unknown,Unknown,Computational Materials Science | Mechanical Engineering | Unknown | Unknown,"[ 0.0034156  -0.00188505 -0.00374994 ... -0.01512071 -0.00062961
 -0.00584331]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-passau-computational-mathematics-w59180/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w59180&hec-offset=335,6784dd9e1796e275dc3e0b4b,University of Passau,Computational Mathematics,"Computer Science, Applied Mathematics, Statistics",Unknown,"Algebra, Geometry and Cryptography, Mathematical Logic and Discrete Mathematics, Analysis, Numerics and Approximation Theory, Dynamical Systems and Optimisation, Stochastics, Statistics, Data Analysis and Data Management and Programming, Key Competencies and Language Training, Applications","Computational Mathematics | Computer Science, Applied Mathematics, Statistics | Algebra, Geometry and Cryptography, Mathematical Logic and Discrete Mathematics, Analysis, Numerics and Approximation Theory, Dynamical Systems and Optimisation, Stochastics, Statistics, Data Analysis and Data Management and Programming, Key Competencies and Language Training, Applications | Unknown","[ 0.00136497 -0.00314716  0.00305846 ... -0.02176072 -0.01291057
 -0.0084625 ]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-computational-mechanics-w6207/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w6207&hec-offset=336,6784dd9f1796e275dc3e0b4c,Munich University of Technology,Computational Mechanics,"Civil Engineering, Mechanical Engineering, Applied Computer Science",Unknown,"Artificial intelligence & Uncertainty Quantification, Civil Engineering, Mechanical Engineering, Automotive and Aerospace Engineering, Biomechanics","Computational Mechanics | Civil Engineering, Mechanical Engineering, Applied Computer Science | Artificial intelligence & Uncertainty Quantification, Civil Engineering, Mechanical Engineering, Automotive and Aerospace Engineering, Biomechanics | Unknown","[ 0.00216646 -0.01328895 -0.00857244 ... -0.03271538 -0.0070781
 -0.00857911]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computational-mechanics-of-materials-and-structures-commas-w5968/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w5968&hec-offset=337,6784dd9f1796e275dc3e0b4d,University of Stuttgart,Computational Mechanics of Materials and Structures (COMMAS),"Civil Engineering, Materials Science","German and international students with a degree of at least six semesters in civil engineering, mechanical engineering, mechatronics, physics, aerospace engineering, process engineering, technical cybernetics, energy engineering or a related course.","Modelling, Simulation","Computational Mechanics of Materials and Structures (COMMAS) | Civil Engineering, Materials Science | Modelling, Simulation | German and international students with a degree of at least six semesters in civil engineering, mechanical engineering, mechatronics, physics, aerospace engineering, process engineering, technical cybernetics, energy engineering or a related course.","[ 0.00553047 -0.00510609 -0.00693835 ... -0.007969    0.00923541
 -0.01542604]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hannover-computational-methods-in-engineering-w57774/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w57774&hec-offset=338,6784dd9f1796e275dc3e0b4e,University of Hannover,Computational Methods in Engineering,"Information Technology, Communications Technology, Engineering Informatics",Unknown,"Mathematics, Computer Science, Mechanics, Modelling, Simulation","Computational Methods in Engineering | Information Technology, Communications Technology, Engineering Informatics | Mathematics, Computer Science, Mechanics, Modelling, Simulation | Unknown","[-0.00060674 -0.00687671 -0.00126546 ... -0.01969301  0.00409831
 -0.01813552]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-computational-methods-in-engineering-w68078/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=17&hec-id=w68078&hec-offset=339,6784dd9f1796e275dc3e0b4f,University of Magdeburg,Computational Methods in Engineering,"Electrical Engineering, Mechanical Engineering, Software Engineering, Applied Mathematics",Unknown,Unknown,"Computational Methods in Engineering | Electrical Engineering, Mechanical Engineering, Software Engineering, Applied Mathematics | Unknown | Unknown","[ 0.00114689 -0.01073711  0.00813815 ... -0.02416505  0.00273678
 -0.00063661]"
